Collector,Higher taxon,Taxon,miss mC,miss mT,miss  man-D,miss ped-D,miss_FL,miss_HL,mc,mpp,mmp,mdp,mt,ppp,pmp,pdp,h,f,Museum - Coll. #,locality,notes,Sex/age,pf-H,pf-w,m1-L,m1-W,m2-L,m2-W,hm1,hm2,hm3,hm4,hm5,m2-5 av,hpp1,hpp1-w,hpp2,hpp2-w,hpp3,hpp3-w,hpp4,hpp4-w,hpp5,hpp5-w,hpp2-5 av,hmp2,hmp3,hmp4,hmp5,hmp2-5 av,hdp1,hdp2,hdp3,hdp4,hdp5,hdp2-5 av,HU(AP),HU(ML),notes,fm1,fm2,fm3,fm4,fm5,fm2-5 av,fpp1,fpp1-w,fpp2,fpp2-w,fpp3,fpp3-w,fpp4,fpp4-w,fpp5,fpp5-w,fpp2-5 av,fmp2,fmp3,fmp4,fmp5,fmp2-5 av,fdp1,fdp2,fdp3,fdp4,fdp5,fdp2-5 av,FE(AP),FE(ML),GM,ln GM,BM,ln BM,Ast-w,CW,CD,,radius L,Ulna L,PI,BZ,md3 length,md4 length,md3/md4,mc3/mc4,mc2/mc3,pd3 length,pd4 length,pd3/pd4,mt3/mt4,pp2/pp4,md3 prehens,md4 prehens,pd3 prehens,pd4 prehens,mc/mt,md/pd,mt3/pp3,mt1/mt3,Mpp3/ip3,Ppp3/ip3
"Yapuncich, G",Hominoidea,Pongo pygmaeus,,,,,,,,,,,,,,,,,AMNH 37721,,from Sergio,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.4,,88.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,#DIV/0!,88.2,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0,0,,,,
"Yapuncich, G",Hominoidea,Hylobates moloch,,,,,,,,,,,,,,,,,AMNH 4610,,from Sergio,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.2,,45.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,#DIV/0!,45.2,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0,0,,,,
"Yapuncich, G",Hominoidea,Hylobates moloch,,,,,,,,,,,,,,,,,AMNH 42095,,from Sergio,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.2,,56.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,#DIV/0!,56.1,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0,0,,,,
"Yapuncich, G",Hominoidea,Hylobates moloch,,,,,,,,,,,,,,,,,AMNH 4612,,from Sergio,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.1,,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,#DIV/0!,39.3,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0,0,,,,
"Yapuncich, G",Hominoidea,Hylobates muelleri,,,,,,,,,,,,,,,,,AMNH 42116,,from Sergio,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,#DIV/0!,41,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0,0,,,,
"Yapuncich, G",Hominoidea,Hylobates muelleri,,,,,,,,,,,,,,,,,AMNH 42123,,from Sergio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.6,,52.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,#DIV/0!,52.3,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0,0,,,,
"Yapuncich, G",Hominoidea,Hylobates muelleri,,,,,,,,,,,,,,,,,AMNH 42122,,from Sergio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,53.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,#DIV/0!,53.3,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0,0,,,,
"Yapuncich, G",Hominoidea,Hylobates muelleri,,,,,,,,,,,,,,,,,AMNH 42121,,from Sergio,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,44.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,#DIV/0!,44.8,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0,0,,,,
"Yapuncich, G",Hominoidea,Symphalangus syndactylus,,,,,,,,,,,,,,,,,AMNH 106581,,from Sergio,M,,,,,,,,70,66,60,,,,,,,51,,47,,,,,,36,33.2,,,,,13.5,12.45,,,13.2,12.7,,41.8,52,50.8,49.3,,,,,33,,34,,34,,,,,,20,20,,,,,7.5,7.5,,,,,,,,,,13,7.6,,,,,,166.5,152.65,1.09073042908614,1.1,1.06060606060606,112.3,110.8,1.01353790613718,1.03042596348884,0.970588235294118,1.31818181818182,1.33666666666667,1.06299212598425,1.09533468559838,1.2992125984252,1.4826357969724,1.49411764705882,0.822834645669291,1.41666666666667,1.7
"Yapuncich, G",Hominoidea,Symphalangus syndactylus,,,,,,,,,,,,,,,,,AMNH 106583,,from Sergio,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.2,,51.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,#DIV/0!,51.7,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0,0,,,,
