Collector,Higher taxon,Taxon,miss mC,miss mT,miss  man-D,miss ped-D,miss_FL,miss_HL,mc,mpp,mmp,mdp,mt,ppp,pmp,pdp,h,f,Museum - Coll. #,locality,notes,Sex/age,pf-H,pf-w,m1-L,m1-W,m2-L,m2-W,hm1,hm2,hm3,hm4,hm5,m2-5 av,hpp1,hpp1-w,hpp2,hpp2-w,hpp3,hpp3-w,hpp4,hpp4-w,hpp5,hpp5-w,hpp2-5 av,hmp2,hmp3,hmp4,hmp5,hmp2-5 av,hdp1,hdp2,hdp3,hdp4,hdp5,hdp2-5 av,HU(AP),HU(ML),notes,fm1,fm2,fm3,fm4,fm5,fm2-5 av,fpp1,fpp1-w,fpp2,fpp2-w,fpp3,fpp3-w,fpp4,fpp4-w,fpp5,fpp5-w,fpp2-5 av,fmp2,fmp3,fmp4,fmp5,fmp2-5 av,fdp1,fdp2,fdp3,fdp4,fdp5,fdp2-5 av,FE(AP),FE(ML),GM,ln GM,BM,ln BM,Ast-w,CW,CD,,radius L,Ulna L,PI,BZ
"Lemelin, P",Strepsirrhini,Euoticus elegantulus,,,,,,,y,y,y,y,y,y,y,y,y,y,BMNH 1977-886,,,Male,nm,nm,nm,nm,nm,nm,7.2,10.62,11.04,10.77,9.68,,7.18,nm,9.56,nm,11.76,nm,13,nm,11.19,nm,,5.54,7.39,8.6,6.37,,3.6,2.62,3.18,3.54,2.72,,3.15,3.02,,11.35,11.61,12.1,11.45,10.38,,8.13,nm,9.3,nm,11.23,nm,13.07,nm,10.43,nm,,4.47,6.55,7.01,5.86,,5.03,4.47,3.02,3.28,2.92,,3.72,3.38,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Euoticus elegantulus,,,,,yes,yes,y,y,y,y,y,y,y,y,n,n,BMNH 1977-889,,,,nm,nm,nm,nm,nm,nm,7.8,10.34,11.34,10.57,9.55,,7.79,nm,10.04,nm,12.06,nm,13.33,nm,11.41,nm,,5.88,7.48,7.67,6.59,,3.91,2.95,3.36,3.42,3.56,,,,,11.6,11.6,12.57,12.11,10.78,,7.79,nm,9.59,nm,11.48,nm,12.88,nm,10.54,nm,,4.21,7.61,8.06,6.2,,4.5,4.21,3.32,3.66,3.33,,na,na,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Euoticus elegantulus,,,,,,,y,y,y,y,y,y,y,y,y,y,BMNH 1983-336,,,,nm,nm,nm,nm,nm,nm,7.8,8.81,10.06,10.17,9.67,,7.42,nm,9.38,nm,11.82,nm,13.08,nm,10.93,nm,,4.87,6.65,7.53,6.33,,3.8,2.46,3.15,3.35,3.07,,3.49,3.17,,11.5,11.05,11.52,11.28,10.53,,7.69,nm,,nm,11.04,nm,12.68,nm,10.4,nm,,na,5.98,7.08,5.66,,3.96,na,2.9,3.34,2.8,,3.82,3.37,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Galago moholi,,,,,,,y,y,y,y,y,y,y,y,y,y,AMNH 86065,,,,nm,nm,nm,nm,nm,nm,5.26,7.29,8.1,7.88,6.35,,5.13,nm,6.47,nm,8.46,nm,8.62,nm,7.21,nm,,3.87,5.78,6.82,5.33,,2.62,1.99,2.4,2.47,2.08,,2.96,2.55,,9.95,9.92,10.39,9.8,9.11,,6.44,nm,7.14,nm,8.96,nm,10.25,nm,7.58,nm,,3.93,5.81,7.12,5.23,,3.6,4.62,2.71,2.67,2.47,,3.74,3.16,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Galago moholi,,,,,,,y,y,y,y,y,y,y,y,y,y,AMNH 86502,,,,2.02,1.78,2.29,1.73,2.26,1.78,5.44,7.13,8.64,7.95,6.38,,5.3,1,6.83,1.02,8.44,1.04,8.6,1.01,6.99,1.07,,3.78,5.67,7.14,5.27,,2.1,1.6,2.18,2.68,2.46,,2.68,2.27,,10.16,10.26,10.64,9.96,9.26,,6.38,1.38,7.28,0.97,9.16,0.91,10.5,0.91,7.84,0.9,,3.7,6,7.63,5.49,,3.54,4.56,2.14,2.71,2.19,,4.12,3.28,,,,,3.36,3.11,2.53,,,,,
"Lemelin, P",Strepsirrhini,Galago moholi,,,,,,,y,y,y,y,y,y,y,y,y,y,AMNH 86503,,,,1.96,1.81,2.29,1.75,2.38,1.78,5.14,6.95,8.56,7.82,6.2,,4.77,0.83,6.18,0.8,8.09,0.89,8.39,0.95,7.08,0.86,,3.74,5.85,6.1,4.94,,2.23,1.62,1.92,2.36,1.93,,2.15,2.25,,9.78,9.96,10.48,9.93,9.19,,6.05,1.39,6.86,0.79,8.88,0.74,10.12,0.79,7.81,0.8,,3.65,5.79,7.06,5.1,,3.7,3.88,2.03,2.53,1.96,,3.47,2.94,,,,,3.22,2.87,2.3,,,,,
"Lemelin, P",Strepsirrhini,Galago moholi,,,,,,,y,y,y,y,y,y,y,y,y,y,AMNH 86504,,,,2.07,1.48,2.46,1.82,2.5,1.88,5.2,7.05,7.85,7.31,5.85,,4.86,0.89,6.33,0.97,7.97,0.93,8.79,0.98,6.8,0.86,,3.53,5.69,5.86,4.88,,2.28,1.42,2.5,2.47,2,,2.6,2.33,,9.49,9.77,9.93,9.34,9.06,widths on pedal ray 3-4 uncertain,6.13,1.49,6.63,0.94,8.62,0.85,9.78,0.83,7.6,0.88,,3.93,5.74,6.68,5.18,,3.66,3.62,2.52,2.38,2.12,,3.68,3.05,,,,,3.08,2.85,2.51,,,,,
"Lemelin, P",Strepsirrhini,Galago moholi,,,,,,,y,y,y,y,y,y,y,y,y,y,AMNH 86505,,,,nm,nm,nm,nm,nm,nm,5.16,7.27,7.98,7.36,6.03,,4.55,nm,6.29,nm,7.73,nm,8.4,nm,6.44,nm,,3.54,5.57,6.4,4.4,,2.12,1.75,2.47,2.54,1.33,,2.43,2.27,,9.4,9.81,10.06,9.42,8.82,,5.88,nm,6.87,nm,8.73,nm,9.44,nm,7.4,nm,,3.94,6.03,7.11,4.78,,3.63,2.97,1.67,2.26,1.95,,3.6,2.98,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Galago moholi,,,,,,,y,y,y,y,y,y,y,y,y,y,BMNH 1963-571,,,Male,nm,nm,nm,nm,nm,nm,6.11,7.66,8.27,7.74,6.74,,5.42,nm,6.5,nm,8.27,nm,9.18,nm,7.03,nm,,3.66,5.64,6.93,5.12,,2.26,1.82,2.73,2.83,2.18,,2.77,2.9,,10.87,10.22,10.38,9.95,9.19,,6.82,nm,7.36,nm,9.22,nm,10.46,nm,7.99,nm,,3.9,7.1,7.17,5.3,,3.02,4.35,3.09,3.14,2.42,,4.26,3.3,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Galago moholi,,,,,,,y,y,y,y,y,y,y,y,y,y,BMNH 1973-19,,,,nm,nm,nm,nm,nm,nm,5.51,7.44,8.43,7.74,6.56,,4.97,nm,6.23,nm,8.31,nm,8.93,nm,6.97,nm,,3.6,5.77,6.45,4.95,,1.84,1.61,2.14,2.14,1.79,,2.39,2.36,,9.94,9.94,10.51,8.92,9.1,,6.62,nm,6.92,nm,8.96,nm,9.99,nm,7.67,nm,,3.64,5.67,6.6,4.88,,3.57,3.62,2.16,2.36,1.66,,3.93,3,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Galago senegalensis,,,,,,,y,y,y,y,y,y,y,y,y,y,AMNH 119521,,,,2.12,1.8,2.3,1.74,2.39,1.86,5.51,7.03,7.45,6.91,6.08,,4.82,0.98,5.9,1.11,7.77,0.98,8,1.16,6.51,1.01,,2.99,4.66,6.26,5.05,,2.22,1.88,2.02,2.48,2.07,,2.62,2.4,,9.48,9.42,9.06,9.6,8.5,,5.7,1.32,6.71,0.72,8.54,0.85,9.82,0.87,7.54,0.83,,3.54,5.56,6.88,4.76,,2.53,3.3,2.3,2.48,2.14,,3.77,3.28,,,,,3.04,2.78,2.46,,,,,
"Lemelin, P",Strepsirrhini,Galago senegalensis,,,,,,,y,y,y,y,y,y,y,y,y,y,AMNH 169426,,additional measures not possible,,nm,nm,nm,nm,nm,nm,5.6,7.19,8.09,7.47,6.3,,4.8,nm,6.59,nm,8.7,nm,8.73,nm,6.53,nm,,3.7,5.18,6.08,4.63,,1.81,2.45,2.4,2.2,1.81,,2.36,2.16,,8.86,9.36,10.01,9.24,8.41,,,nm,6.82,nm,8.29,nm,9.72,nm,7.07,nm,,4.16,5.61,6.89,4.96,,na,1.43,2.12,na,1.92,,3.34,3.08,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Galago senegalensis,,,,yes,,,y,y,y,y,y,y,y,n,y,y,AMNH 244100,,,,nm,nm,nm,nm,nm,nm,5.86,7.66,8.37,7.72,6.62,,4.93,nm,6.55,nm,8.24,nm,8.86,nm,7.15,nm,,3.03,5.9,6.71,5.15,,na,na,2.84,na,na,,2.91,3.01,,9.98,9.08,9.62,9.17,8.48,,6.06,nm,6.82,nm,8.78,nm,9.6,nm,7.56,nm,,3.8,5.79,6.78,5.06,,na,na,na,2.52,na,,3.74,3.32,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Galago senegalensis,,,yes,yes,,,y,y,y,n,y,y,y,n,y,y,AMNH 35445,,,Male,nm,nm,nm,nm,nm,nm,5.49,7,7.9,7.36,6.33,,4.91,nm,6.11,nm,7.72,nm,8.62,nm,6.51,nm,,4.08,5.48,6.57,4.86,,na,na,na,2.33,na,,2.67,2.5,,9.77,9.72,10.12,9.69,9,,6.17,nm,6.78,nm,8.54,nm,9.46,nm,7.38,nm,,3.58,5.17,6.66,5.17,,na,na,na,na,na,,3.72,3.21,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Galago senegalensis,,,,,,,y,y,y,y,y,y,y,y,y,y,BMNH 1952-7284,,,,nm,nm,nm,nm,nm,nm,5.98,8.21,9.22,8.85,7.27,,5.59,nm,7,nm,9.17,nm,9.66,nm,7.44,nm,,3.32,6.56,7.42,5.55,,2.69,2.01,2.64,3.02,2.33,,3.34,2.89,,10.78,11.2,11.59,11.25,10.36,,7.27,nm,7.85,nm,9.83,nm,10.6,nm,8.54,nm,,4.39,6.41,6.87,5.82,,3.7,4.64,2.68,2.9,2.53,,4.25,3.64,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Galago senegalensis,,,,,,,y,y,y,y,y,y,y,y,y,y,CMNH B747,,,,nm,nm,nm,nm,nm,nm,4.69,6.44,7.22,6.64,5.07,,4.32,nm,5.74,nm,7.56,nm,8.42,nm,6.41,nm,,2.8,5.31,6.01,4.78,,1.73,1.53,2.29,2.27,1.77,,2.15,2.22,,8.55,8.72,8.89,8.41,7.63,,5.24,nm,6.43,nm,8.01,nm,9.2,nm,7.15,nm,,3.54,5,6.65,4.56,,3.18,3.51,2.12,2.16,1.81,,3.51,2.87,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Galago senegalensis,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 121213,,,,nm,nm,nm,nm,nm,nm,6.57,8.26,9.52,8.84,7.57,,5.72,nm,7.47,nm,9.55,nm,10.56,nm,8.35,nm,,4.63,6.62,7.58,5.89,,2.73,2.2,2.84,3.1,2.36,,3.15,2.84,,11.82,11.76,12.29,11.6,10.98,,7.17,nm,8.18,nm,9.66,nm,11.63,nm,8.88,nm,,3.99,5.94,7.71,5.45,,3.96,4.76,2.81,3.03,2.49,,4.04,3.76,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Galago senegalensis,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 127371,,,Male,nm,nm,nm,nm,nm,nm,5.06,6.67,7.33,6.85,5.47,,4.46,nm,5.66,nm,7.57,nm,8.21,nm,6.36,nm,,3.55,5.08,6.08,4.24,,1.89,1.51,2.15,2.18,1.85,,2.7,2.54,,8.99,8.89,9.12,8.69,8,,5.77,nm,6.54,nm,8.29,nm,8.99,nm,6.85,nm,,3.19,5.12,6.29,4.64,,3.06,4.19,2.24,2.11,2.06,,3.72,3.31,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Galago senegalensis,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 127375,,,Male,nm,nm,nm,nm,nm,nm,5.42,7.45,8.25,7.66,6.34,,4.71,nm,6.51,nm,8.41,nm,9.31,nm,7.02,nm,,3.71,5.81,6.59,4.92,,2.29,1.58,2.26,2.42,2.13,,2.79,2.54,,9.9,9.3,10.09,9.7,9.03,,6.18,nm,7.2,nm,9.26,nm,10.5,nm,7.71,nm,,3.7,5.66,7.02,5.04,,3.65,4.15,2.21,2.51,2.13,,4.03,3.97,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Galago senegalensis,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 135741,,,Male,nm,nm,nm,nm,nm,nm,5.91,7.46,7.88,7.85,6.67,,4.92,nm,6.18,nm,9.06,nm,9.16,nm,7.07,nm,,3.89,5.74,6.64,5.06,,1.95,1.56,2.35,2.33,2.03,,2.61,2.38,,9.86,10.05,10.51,9.74,8.91,,6.07,nm,6.97,nm,8.88,nm,10.03,nm,7.82,nm,,3.63,6,7.1,5.35,,3.45,3.38,2.26,2.53,2.18,,3.5,3.12,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Galago senegalensis,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 58976,,,Male,nm,nm,nm,nm,nm,nm,6.38,8.06,9.22,8.62,7.38,,5.44,nm,7.13,nm,9.07,nm,9.91,nm,7.75,nm,,4.04,6.1,7.06,5.39,,2.33,1.76,2.7,2.57,2.37,,3.48,2.95,,11.08,11.43,11.81,11.36,10.9,,6.9,nm,7.73,nm,9.78,nm,11.07,nm,8.4,nm,,3.72,5.82,7.6,5.38,,3.66,4.38,2.52,2.78,2.29,,4.41,4.18,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Galago senegalensis,,,,,,,y,y,y,y,y,y,y,y,y,y,NMNH 397967,,,Male,2.24,1.63,2.46,1.94,2.37,1.98,5.88,7.27,8.18,7.53,6.75,,5.16,nm,6.59,nm,8.31,nm,9.2,nm,7.43,nm,,3.92,5.87,6.71,5.14,,2.26,1.78,2.17,2.48,1.9,,2.45,2.1,,10.1,9.8,10.31,9.85,9.06,,6.4,nm,6.91,nm,8.8,nm,9.88,nm,7.59,nm,,3.61,5.83,6.95,5.23,,3.44,4.01,2.42,2.54,2.19,,3.47,2.87,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Galago senegalensis,,,,,,,y,y,y,y,y,y,y,y,y,y,NMNH 397968,,,Female,2.29,1.59,2.25,1.88,2.36,1.98,6.14,7.75,8.56,7.99,6.86,,5.18,nm,6.61,nm,8.85,nm,9.57,nm,7.26,nm,,4.08,5.87,6.95,5.05,,2.21,1.71,2.25,2.4,1.98,,2.59,2.44,,10.45,10.54,10.76,10.22,9.51,,6.43,nm,6.95,nm,9.14,nm,10.45,nm,7.89,nm,,3.31,5.55,7.04,4.56,,3.36,4.51,2.21,2.67,1.84,,3.49,3.25,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Galagoides alleni,,,,,,,y,y,y,y,y,y,y,y,y,y,AIZU 7534,,,,nm,nm,nm,nm,nm,nm,7.21,9.39,10.7,10.08,8.81,,7.24,nm,7.78,nm,11.19,nm,13.01,nm,9.05,nm,,4.44,7.92,9.91,7.03,,3.5,2.05,3.02,3.61,2.92,,3,3.09,,12.5,11.85,12.46,11.75,11.14,,7.9,nm,9.34,nm,12.02,nm,13.62,nm,10.92,nm,,4.9,8.15,10.2,7.39,,5.48,4.97,3.39,3.67,3.16,,4.09,3.58,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Galagoides alleni,,,,,,,y,y,y,y,y,y,y,y,y,y,AIZU 7634,,,,nm,nm,nm,nm,nm,nm,7.61,9.14,10.58,10.14,8.67,,7.14,nm,7.51,nm,10.84,nm,12.54,nm,9.25,nm,,4.67,7.38,9.55,6.74,,3.83,2.99,2.63,3.34,3.25,,3.1,3.09,,12.47,12.02,12.22,11.97,11.14,,7.91,nm,8.86,nm,11.57,nm,13.86,nm,10.59,nm,,4.62,7.19,9.88,7,,4.94,4.66,3.18,3.61,3.44,,3.97,3.44,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Galagoides alleni,,,,,yes,yes,y,y,y,y,y,y,y,y,n,n,AMNH 119800 (x-ray),,,,nm,nm,nm,nm,nm,nm,7.65,9.06,9.99,9.17,7.95,,6.41,nm,6.86,nm,10.54,nm,11.78,nm,8.99,nm,,3.68,6.46,7.44,5.01,,3.1,1.74,2.12,2.57,2.28,,,,,11.5,10.81,12.01,11.29,10.62,,7.86,nm,7.89,nm,10.55,nm,12.64,nm,9.34,nm,,4.05,6.69,8.97,6.61,,4.6,na,2.63,3.27,2.64,,na,na,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Galagoides alleni,,,,,yes,yes,y,y,y,y,y,y,y,y,n,n,AMNH 119807 (x-ray),,,,nm,nm,nm,nm,nm,nm,7.17,9.24,10.13,9.95,8.44,,6.5,nm,7.66,nm,10.81,nm,12.58,nm,8.74,nm,,3.14,6.62,8.45,5.28,,3.37,1.98,2.52,2.81,1.94,,,,,11.44,11.7,12.57,11.81,10.93,,8.09,nm,8.91,nm,11.45,nm,13.28,nm,9.6,nm,,3.91,6.62,8.47,5.78,,4.81,na,2.69,2.84,2.54,,na,na,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Galagoides alleni,,,,,,,y,y,y,y,y,y,y,y,y,y,NMNH 49548,,,,2.53,1.98,2.84,2.29,2.86,2.43,7.42,8.85,10.68,10.4,8.22,,6.55,nm,7.21,nm,10.83,nm,12.62,nm,8.62,nm,,3.93,6.74,8.84,6.11,,3.19,2.12,2.61,3.23,2.53,,2.87,2.79,,12.24,11.63,12.54,11.92,10.99,,7.88,nm,9.05,nm,11.7,nm,13.77,nm,9.7,nm,,4.28,7.12,9.63,6.4,,4.61,na,2.95,3.38,2.71,,4.21,3.24,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Galagoides demidoff,,,,,,,y,y,y,y,y,y,y,y,y,y,AIZU 7654,,,,nm,nm,nm,nm,nm,nm,4.26,5.64,6.13,5.81,4.6,,4.84,nm,4.92,nm,6.75,nm,7.17,nm,5.52,nm,,2.34,4.68,5.59,3.83,,2.27,1.37,1.8,2.39,1.78,,1.8,1.69,,8.04,7.21,7.5,6.88,6.36,,5.07,nm,5.39,nm,7.21,nm,8.69,nm,6.61,nm,,2.38,4.76,6.08,4.41,,2.97,3.69,1.84,2.15,1.57,,2.23,1.9,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Galagoides demidoff,,,,,,,y,y,y,y,y,y,y,y,y,y,AIZU 7656,,,,nm,nm,nm,nm,nm,nm,4.68,5.71,6.2,6.07,5.11,,4.96,nm,5.29,nm,6.85,nm,7.53,nm,6.06,nm,,3.24,4.76,5.8,4.05,,2.32,1.13,2.44,2.66,1.54,,1.97,1.71,,8.28,7.35,7.29,6.84,6.39,,4.95,nm,5.8,nm,7.15,nm,8.82,nm,6.97,nm,,2.95,5.08,6.28,3.25,,3.42,3.09,2.38,2.39,1.97,,2.13,2.04,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Galagoides demidoff,,,,,,,y,y,y,y,y,y,y,y,y,y,AIZU 7657,,,,nm,nm,nm,nm,nm,nm,4.67,5.31,5.51,5.44,4.72,,4.66,nm,4.65,nm,6.35,nm,7.41,nm,5.58,nm,,2.93,4.48,5.41,3.45,,2.51,1.29,1.58,1.97,1.8,,1.91,1.81,,7.48,6.39,6.73,6.21,6.14,,5.12,nm,5.63,nm,7.01,nm,8.36,nm,6.27,nm,,2.79,4.31,6.12,4.45,,3.29,2.25,1.53,1.92,1.37,,2.18,1.92,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Galagoides demidoff,,,,,,,y,y,y,y,y,y,y,y,y,y,AMNH 150413,,,,1.38,1.27,2.01,1.59,2.1,1.66,4.44,5.42,6.18,5.41,4.92,,4.53,0.63,4.73,0.63,6.48,0.65,6.98,0.72,5.74,0.66,,3.03,4.37,5.29,3.85,,2.23,1.46,2.01,1.96,1.91,,2,1.68,,8.08,7.14,7.54,7.1,6.55,,4.97,1.05,5.64,0.53,7.32,0.59,8.64,0.71,6.56,0.62,,2.74,4.26,6.02,4.14,,2.98,2.94,2.24,2.46,2.22,,2.34,1.99,,,,,1.92,2.22,1.91,,,,,
"Lemelin, P",Strepsirrhini,Galagoides demidoff,,,,,,,y,y,y,y,y,y,y,y,y,y,AMNH 212956,,,,1.62,1.41,1.92,1.43,1.9,1.55,4.61,5.71,6.29,6.06,4.94,,4.48,0.76,5.14,0.81,6,0.89,7.24,0.91,5.23,0.84,,2.9,4.44,5.17,4.09,,2.06,1.28,1.96,2.07,1.63,,1.94,1.61,,7.73,6.61,7.23,6.85,6.44,,5.25,0.93,5.22,0.61,7.04,0.6,8.3,0.74,6.08,0.69,,2.67,4.12,5.58,4.06,,1.9,3.28,1.66,1.88,1.65,,2.05,2.1,,,,,2.03,2.1,1.7,,,,,
"Lemelin, P",Strepsirrhini,Galagoides demidoff,,,,,,,y,y,y,y,y,y,y,y,y,y,AMNH 212957,,,,nm,nm,nm,nm,nm,nm,4.75,5.86,6.01,5.56,5,,4.38,nm,5,nm,6.67,nm,7.42,nm,5.23,nm,,2.93,4.45,5.48,3.8,,1.97,1.69,1.98,2.22,1.6,,2.31,1.95,,8.2,6.76,6.92,6.14,5.63,,5.36,nm,5.82,nm,7.23,nm,8.22,nm,,nm,,2.56,4.34,6.19,na,,2.97,3.22,2.01,2.35,na,,2.35,2.22,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Galagoides demidoff,,,,,,,y,y,y,y,y,y,y,y,y,y,AMNH 215180,,,Male,1.5,1.32,1.93,1.45,1.89,1.51,4.42,5.18,5.64,5.27,4.67,,4.07,0.85,4.35,0.66,5.91,0.68,6.48,0.82,4.96,0.72,,2.27,4.06,5.2,3.73,,1.58,1.29,1.85,2.01,1.61,,2.04,1.79,,7.17,6.48,6.84,6.32,6,,4.39,0.94,4.86,0.6,6.01,0.56,7.1,0.67,5.38,0.59,,2.26,4.19,5.36,3.4,,2.75,2.64,1.64,2.04,2.06,,2.3,2.08,,,,,2.25,2.04,1.89,,,,,
"Lemelin, P",Strepsirrhini,Galagoides demidoff,,,,,,,y,y,y,y,y,y,y,y,y,y,BMNH 1982-483,,,Male,nm,nm,nm,nm,nm,nm,4.65,5.67,6.35,5.94,5.17,,4.87,nm,5.16,nm,6.96,nm,7.79,nm,5.56,nm,,2.46,4.45,5.55,3.83,,2.6,1.94,2.07,1.93,1.83,,2.32,2,,7.78,7.36,7.4,6.93,6.78,,5.13,nm,5.89,nm,6.94,nm,8.81,nm,6.63,nm,,2.72,4.67,6.23,4.02,,3.16,3.13,2.16,2.69,2.6,,2.41,2.44,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Galagoides demidoff,,,,,,,y,y,y,y,y,y,y,y,y,y,BMNH 1982-484,,,Male,nm,nm,nm,nm,nm,nm,4.86,5.69,6.32,5.93,4.95,,4.42,nm,5.34,nm,6.55,nm,7.21,nm,5.5,nm,,2.59,4.39,5.89,4,,2.26,1.62,1.78,2.19,2.11,,2.28,2.09,,8.08,7.2,7.55,6.92,6.51,,5.35,nm,5.97,nm,7.21,nm,8.4,nm,6.41,nm,,2.76,4.42,6.2,3.93,,3.14,3.23,2.27,2.41,2.42,,2.51,2.43,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Galagoides demidoff,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 104804,,,Female,nm,nm,nm,nm,nm,nm,4.71,5.59,6.15,5.66,5.03,,4.39,nm,5.06,nm,6.57,nm,7.24,nm,5.6,nm,,3.07,4.19,5.74,3.59,,2.05,1.38,1.54,2.08,1.41,,1.93,1.81,,8.17,7.32,7.66,6.95,6.66,,5.17,nm,5.87,nm,7.38,nm,8.54,nm,6.75,nm,,2.34,4.51,6.02,4.1,,2.94,3.38,2.01,2.24,1.87,,2.41,2.06,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Galagoides demidoff,,,,,,,y,y,y,y,y,y,y,y,y,n,FMNH 122702,,,,nm,nm,nm,nm,nm,nm,4.71,5.4,5.79,6.01,5.33,,4.26,nm,4.74,nm,6.19,nm,6.74,nm,4.86,nm,,2.89,4.39,5.36,2.66,,2.13,1.42,1.86,2.1,1.54,,1.89,1.99,,7.98,7.16,7.46,6.93,6.59,,5.11,nm,5.49,nm,6.81,nm,,nm,6.25,nm,,2.26,4.52,5.42,4.02,,3.16,2.89,2.12,2.39,2.11,,na,na,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Hapalemur griseus,,,,,,,y,y,y,y,y,y,y,y,y,y,AIZU 5055,,,Male,nm,nm,nm,nm,nm,nm,9.52,13.31,15.2,15.27,14.06,,8.88,nm,11.45,nm,14.95,nm,16.36,nm,12.45,nm,,6.06,9.55,10.98,6.95,,4.84,2.68,3.86,4.19,3.44,,4.75,4.56,,21.94,24.7,24.3,25.21,23.68,,11.56,nm,14.54,nm,16.54,nm,18.16,nm,15.33,nm,,6.51,9.55,11.6,8.74,,7.56,6.89,4.98,5.28,4.57,,5.47,5.87,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Hapalemur griseus,,,,,,,y,y,y,y,y,y,y,y,y,y,BMNH 1870-554,,,,nm,nm,nm,nm,nm,nm,10.74,16.18,17.92,17.04,16.16,,9.78,nm,12.58,nm,15.88,nm,17.42,nm,12.8,nm,,7.07,10.6,11.63,7.23,,4.87,3.36,4.53,4.79,3.6,,4.66,4.91,,23.1,25.12,24.96,25.38,23.6,,11.5,nm,14.4,nm,16.92,nm,18.18,nm,14.65,nm,,6.86,10.15,11.57,8.48,,8.02,7.8,4.86,na,4.78,,4.92,5.87,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Hapalemur griseus,,,,,,,y,y,y,y,y,y,y,y,y,y,BMNH 1881-670,,,,nm,nm,nm,nm,nm,nm,8.39,12.68,14.23,13.78,13.3,,7.24,nm,10.42,nm,13.15,nm,14.21,nm,12.21,nm,,5.54,8.8,9.45,5.47,,5.23,3.72,4.1,4.53,3.94,,4.33,4.88,,19.85,21.93,22.03,22.25,21.01,,9.16,nm,12.6,nm,14.52,nm,16.03,nm,12.57,nm,,5.9,8.76,10.14,6.94,,7.53,6.17,5.49,5.55,4.77,,5.29,5.77,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Hapalemur griseus,,,,,,,y,y,y,y,y,y,y,y,y,y,MCZH 44910,,,Male,nm,nm,nm,nm,nm,nm,8.57,14.08,16.22,15.36,14.47,,8.2,nm,11.25,nm,14.55,nm,15.18,nm,11.93,nm,,6.72,9.29,10.36,6.93,,5.54,4.13,4.19,4.22,3.99,,4.39,4.25,,21.67,24.48,24.74,25.09,23.29,,11.8,nm,13.92,nm,16.29,nm,17.33,nm,14.38,nm,,6.47,9.89,11.28,8.54,,8.03,7.63,3.85,5.02,4.23,,5.51,5.5,,,,,nm,nm,nm,,,,,
