Collector,Higher taxon,Taxon,miss mC,miss mT,miss  man-D,miss ped-D,miss_FL,miss_HL,mc,mpp,mmp,mdp,mt,ppp,pmp,pdp,h,f,Museum - Coll. #,locality,notes,Sex/age,pf-H,pf-w,m1-L,m1-W,m2-L,m2-W,hm1,hm2,hm3,hm4,hm5,m2-5 av,hpp1,hpp1-w,hpp2,hpp2-w,hpp3,hpp3-w,hpp4,hpp4-w,hpp5,hpp5-w,hpp2-5 av,hmp2,hmp3,hmp4,hmp5,hmp2-5 av,hdp1,hdp2,hdp3,hdp4,hdp5,hdp2-5 av,HU(AP),HU(ML),notes,fm1,fm2,fm3,fm4,fm5,fm2-5 av,fpp1,fpp1-w,fpp2,fpp2-w,fpp3,fpp3-w,fpp4,fpp4-w,fpp5,fpp5-w,fpp2-5 av,fmp2,fmp3,fmp4,fmp5,fmp2-5 av,fdp1,fdp2,fdp3,fdp4,fdp5,fdp2-5 av,FE(AP),FE(ML),GM,ln GM,BM,ln BM,Ast-w,CW,CD,,radius L,Ulna L,PI,BZ
"Boyer, D",Cercopithecoidea,Macaca sp.,,,,,,,y,y,y,y,y,y,y,y,y,y,DPC 073,,,,11.3,8.43,na,na,na,na,23.86,39.89,38.05,38.4,35.9,,14.7,3.19,23.46,4.02,28.7,4.77,28.2,4.25,22.5,3.6,,12.48,17.6,17.7,13.75,,7.6,8.02,9.3,9.6,8.7,,11.64,13.15,,35.15,50.56,52.96,52.85,51.07,,17.58,4.66,25.22,3.42,31.19,4.2,29.58,3.9,24.93,3.08,,13.41,17.82,18,14.42,,9.39,9.46,11.15,10.88,9.45,,13.36,12.48,,,,,11.66,12.04,7.5,,,,,
"Boyer, D",Cercopithecoidea,Mandrillus leucophaeus,,,yes,yes,,,y,y,y,n,y,y,y,n,y,y,AMNH 35693,,,M,16.2,11.48,11.21,9.09,15.20,11.16,33.19,54.9,53.4,53.4,51.8,,17.31,5.3,25.4,7,30.03,7.7,30.33,7.18,25.91,5.83,,14.8,17.6,17.33,14.6,,11.05,na,na,14.95,13.7,,19.2,17.8,,40.5,63.5,64.3,65.5,63.4,,18.4,6.2,25.6,5.22,30.3,6.3,30.2,6,25.76,5.06,,na,18,na,13.8,,na,na,na,na,na,,17.11,18.5,,,,,na,na,na,,,,photo 8762,photo 8762
"Boyer, D",Cercopithecoidea,Mandrillus leucophaeus,,,yes,yes,,,y,y,y,n,y,y,n,n,y,y,AMNH 70245,,,M,17.5,11.25,9.54,7.46,12.93,11.06,38.40,56.27,53.64,54.04,51.66,,20.7,5.78,32.08,6.21,37.7,6.96,37.56,6.72,31.41,5.69,,19.81,22.95,22.58,18.59,,na,na,na,na,na,,18.22,17.03,,52.7,67.5,68.7,68.5,63,,na,8.18,33.52,5.33,38.93,6.4,37.6,6.08,30.8,4.27,,na,na,na,na,,na,na,na,na,na,,19.83,17.85,,,,,16.34,15.93,12.63,,,,photo 8761,photo 8761
"Boyer, D",Cercopithecoidea,Miopithecus talapoins,,,,,,,y,y,y,y,y,y,y,y,y,y,DPC 069,,,?/adult,5.5,3.53,3.5,2.9,4.1,3.44,11.2,16.9,17.7,16.1,14.3,,7.6,1.7,11.8,2,13.98,2.25,13.3,2.16,10.8,1.71,,8.04,9.75,9.44,7.4,,3.95,4.33,5.4,5.6,4.57,,4.76,5.08,,16.67,25.17,27.22,27,26.3,,9.54,2.33,13.36,1.55,15.94,2.15,14.65,1.94,12.2,1.57,,7.51,10.75,10.1,7.1,,5.03,4.3,6.1,5.8,4.43,,5.39,5.69,,,,,5.34,5.7,2.8,,,,,
"Yapuncich, G",Cercopithecoidea,Miopithecus talapoins,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 121359,,,F,5.15,3.52,3.40,2.92,3.94,3.43,9.76,15.79,17.14,15.42,13.76,,6.91,1.71,11.31,1.93,13.51,2.32,12.84,2.17,10.40,1.77,,7.02,9.73,9.16,6.24,,3.91,4.33,5.30,4.55,4.39,,4.76,5.06,,16.18,23.24,26.19,25.96,24.98,,8.99,2.38,12.87,1.63,14.92,2.19,14.38,2.1,11.35,1.68,,7.38,10.16,9.79,6.72,,4.63,4.07,5.85,5.16,3.79,,5.22,5.45,,,,,5.49,5.56,2.63,,,,,
"Yapuncich, G",Cercopithecoidea,Miopithecus talapoins,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 129458 L,,,,4.96,5.53,4.03,3.27,4.21,3.82,12.18,20.60,21.07,19.33,16.39,,na,na,13.55,2.46,16.32,2.78,15.68,2.64,12.01,2.05,,8.51,10.98,10.7,7.45,,na,4.83,5.86,5.84,4.81,,6.09,6.91,,17.87,28.25,31.36,31.99,30,,10.1,2.59,15.68,1.89,17.91,2.65,17.41,2.41,14.29,1.9,,11.31,11.59,11.3,8.03,,5.83,5.08,6.08,na,4.78,,6.01,6.97,"Ray attributions uncertain for DPs, some broken",,,,5.99,5.48,3.15,,,,,
"Yapuncich, G",Cercopithecoidea,Miopithecus talapoins,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 129458 R,,,,5.86,4.44,4.03,3.27,4.21,3.82,11.74,19.69,20.49,19.01,16.48,,8.33,2.06,13.68,2.40,15.93,2.65,15.92,3.29,11.99,2.09,,8.60,10.93,na,7.81,,4.44,4.89,5.98,na,4.65,,5.98,6.46,,14.06,27.75,30.97,30.83,29.04,,10.88,2.24,15.46,1.9,17.72,2.61,17.09,2.45,14.05,1.83,,8.41,11.59,10.72,7.19,,5.83,5.12,6.58,6.58,5.28,,6.29,6.88,,,,,5.81,5.76,3.04,,,,,
"Yapuncich, G",Cercopithecoidea,Miopithecus talapoins,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 129459 L,,"regarding feet only: Ray attributions uncertain for DPs, some broken",F,5.26,3.59,3.49,3.10,3.86,3.61,10.37,17.59,18.45,17.19,15.47,,na,na,11.67,2.05,14.22,2.46,13.8,2.19,10.42,1.7,,7.01,9.37,9.07,6.21,,na,4.98,3.4,2.31,4.11,,4.64,5.51,,16.97,25.57,27.62,27.62,25.6,,8.94,2.29,13.09,1.59,15.19,2.23,15.01,2.06,11.77,1.55,,6.65,9.9,9.32,6.2,,4.79,5.26,3.27,na,na,,5.95,5.8,"Ray attributions uncertain for DPs, some broken",,,,5.84,5.35,2.78,,,,,
"Yapuncich, G",Cercopithecoidea,Miopithecus talapoins,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 129459 R,,"regarding feet only: Ray attributions uncertain for DPs, some broken",F,5.13,3.63,3.71,3,3.92,3.39,10.63,17.77,18.73,17.44,15.47,,6.88,1.65,11.58,2.02,14.16,2.39,13.67,2.18,10.44,1.68,,6.98,9.48,9.07,6.32,,4.13,3.96,4.78,5.2,2.34,,4.55,5.51,,17.06,25.52,27.8,27.36,25.08,,8.98,2.33,12.97,1.46,15.23,2.21,14.83,2.07,11.61,1.54,,6.63,9.74,9.25,5.98,,4.64,4.22,5.93,5.17,4.01,,5.89,5.87,"Ray attributions uncertain for DPs, some broken",,,,5.75,5.29,3.11,,,,,
"Boyer, D",Cercopithecoidea,Miopithecus talapoins,,,,,,,y,y,y,y,y,y,y,y,y,y,RFK-private collection,,,,5.12,3.51,3.65,2.96,3.8,3.38,12.07,20.39,20.61,19.71,17.41,,8.32,1.86,13.53,2.28,15.8,2.67,15.13,2.59,12.2,1.94,,8.1,11.08,10.43,7.72,,4.43,4.74,5.99,6.02,4.71,,5.96,6.93,,20.05,30.22,32.05,31.52,31.2,,10.28,2.57,14.11,1.94,17.61,2.63,16.74,2.46,13.48,1.94,,7.82,11.44,10.7,7.36,,5.7,5.03,6.8,6.5,5.25,,6.36,6.57,,,,,5.5,6.02,3.14,,,,,
